"Town","FIPS","Year","Occupancy Status","Measure Type","Variable","Value"
"Naugatuck","0900949950","2006-2010","Vacant","Number","Housing Units",1014
"Naugatuck","0900949950","2006-2010","Vacant","Number","Margins of Error",288
"Naugatuck","0900949950","2006-2010","Vacant","Percent","Housing Units",7.58
"Naugatuck","0900949950","2006-2010","Vacant","Percent","Margins of Error",2.16
"Naugatuck","0900949950","2006-2010","Occupied","Number","Housing Units",12369
"Naugatuck","0900949950","2006-2010","Occupied","Number","Margins of Error",306
"Naugatuck","0900949950","2006-2010","Occupied","Percent","Housing Units",92.42
"Naugatuck","0900949950","2006-2010","Occupied","Percent","Margins of Error",3.5
"Naugatuck","0900949950","2007-2011","Total","Number","Housing Units",13212
"Naugatuck","0900949950","2007-2011","Total","Number","Margins of Error",408
"Naugatuck","0900949950","2007-2011","Vacant","Number","Housing Units",826
"Naugatuck","0900949950","2007-2011","Vacant","Number","Margins of Error",283
"Naugatuck","0900949950","2007-2011","Vacant","Percent","Housing Units",6.25
"Naugatuck","0900949950","2007-2011","Vacant","Percent","Margins of Error",2.15
"Naugatuck","0900949950","2007-2011","Occupied","Number","Housing Units",12386
"Naugatuck","0900949950","2007-2011","Occupied","Number","Margins of Error",379
"Naugatuck","0900949950","2007-2011","Occupied","Percent","Housing Units",93.75
"Naugatuck","0900949950","2007-2011","Occupied","Percent","Margins of Error",4.08
"Naugatuck","0900949950","2008-2012","Total","Number","Housing Units",13395
"Naugatuck","0900949950","2008-2012","Total","Number","Margins of Error",566
"Naugatuck","0900949950","2008-2012","Vacant","Number","Housing Units",934
"Naugatuck","0900949950","2008-2012","Vacant","Number","Margins of Error",283
"Naugatuck","0900949950","2008-2012","Vacant","Percent","Housing Units",6.97
"Naugatuck","0900949950","2008-2012","Vacant","Percent","Margins of Error",2.13
"Naugatuck","0900949950","2008-2012","Occupied","Number","Housing Units",12461
"Naugatuck","0900949950","2008-2012","Occupied","Number","Margins of Error",441
"Naugatuck","0900949950","2008-2012","Occupied","Percent","Housing Units",93.03
"Naugatuck","0900949950","2008-2012","Occupied","Percent","Margins of Error",5.13
"Naugatuck","0900949950","2009-2013","Total","Number","Housing Units",13248
"Naugatuck","0900949950","2009-2013","Total","Number","Margins of Error",472
"Naugatuck","0900949950","2009-2013","Vacant","Number","Housing Units",955
"Naugatuck","0900949950","2009-2013","Vacant","Number","Margins of Error",274
"Naugatuck","0900949950","2009-2013","Vacant","Percent","Housing Units",7.21
"Naugatuck","0900949950","2009-2013","Vacant","Percent","Margins of Error",2.08
"Naugatuck","0900949950","2009-2013","Occupied","Number","Housing Units",12293
"Naugatuck","0900949950","2009-2013","Occupied","Number","Margins of Error",383
"Naugatuck","0900949950","2009-2013","Occupied","Percent","Housing Units",92.79
"Naugatuck","0900949950","2009-2013","Occupied","Percent","Margins of Error",4.39
"Naugatuck","0900949950","2010-2014","Total","Number","Housing Units",13103
"Naugatuck","0900949950","2010-2014","Total","Number","Margins of Error",453
"Naugatuck","0900949950","2010-2014","Vacant","Number","Housing Units",946
"Naugatuck","0900949950","2010-2014","Vacant","Number","Margins of Error",292
"Naugatuck","0900949950","2010-2014","Vacant","Percent","Housing Units",7.22
"Naugatuck","0900949950","2010-2014","Vacant","Percent","Margins of Error",2.24
"Naugatuck","0900949950","2010-2014","Occupied","Number","Housing Units",12157
"Naugatuck","0900949950","2010-2014","Occupied","Number","Margins of Error",384
"Naugatuck","0900949950","2010-2014","Occupied","Percent","Housing Units",92.78
"Naugatuck","0900949950","2010-2014","Occupied","Percent","Margins of Error",4.34
"Naugatuck","0900949950","2011-2015","Total","Number","Housing Units",12930
"Naugatuck","0900949950","2011-2015","Total","Number","Margins of Error",454
"Naugatuck","0900949950","2011-2015","Vacant","Number","Housing Units",835
"Naugatuck","0900949950","2011-2015","Vacant","Number","Margins of Error",266
"Naugatuck","0900949950","2011-2015","Vacant","Percent","Housing Units",6.46
"Naugatuck","0900949950","2011-2015","Vacant","Percent","Margins of Error",2.07
"Naugatuck","0900949950","2011-2015","Occupied","Number","Housing Units",12095
"Naugatuck","0900949950","2011-2015","Occupied","Number","Margins of Error",451
"Naugatuck","0900949950","2011-2015","Occupied","Percent","Housing Units",93.54
"Naugatuck","0900949950","2011-2015","Occupied","Percent","Margins of Error",4.79
"Naugatuck","0900949950","2012-2016","Total","Number","Housing Units",12808
"Naugatuck","0900949950","2012-2016","Total","Number","Margins of Error",442
"Naugatuck","0900949950","2012-2016","Vacant","Number","Housing Units",898
"Naugatuck","0900949950","2012-2016","Vacant","Number","Margins of Error",267
"Naugatuck","0900949950","2012-2016","Vacant","Percent","Housing Units",7.01
"Naugatuck","0900949950","2012-2016","Vacant","Percent","Margins of Error",2.1
"Naugatuck","0900949950","2012-2016","Occupied","Number","Housing Units",11910
"Naugatuck","0900949950","2012-2016","Occupied","Number","Margins of Error",388
"Naugatuck","0900949950","2012-2016","Occupied","Percent","Housing Units",92.99
"Naugatuck","0900949950","2012-2016","Occupied","Percent","Margins of Error",4.41
"Naugatuck","0900949950","2013-2017","Total","Number","Housing Units",12777
"Naugatuck","0900949950","2013-2017","Total","Number","Margins of Error",433
"Naugatuck","0900949950","2013-2017","Vacant","Number","Housing Units",1012
"Naugatuck","0900949950","2013-2017","Vacant","Number","Margins of Error",329
"Naugatuck","0900949950","2013-2017","Vacant","Percent","Housing Units",7.92
"Naugatuck","0900949950","2013-2017","Vacant","Percent","Margins of Error",2.59
"Naugatuck","0900949950","2013-2017","Occupied","Number","Housing Units",11765
"Naugatuck","0900949950","2013-2017","Occupied","Number","Margins of Error",365
"Naugatuck","0900949950","2013-2017","Occupied","Percent","Housing Units",92.08
"Naugatuck","0900949950","2013-2017","Occupied","Percent","Margins of Error",4.23
"Naugatuck","0900949950","2014-2018","Total","Number","Housing Units",12376
"Naugatuck","0900949950","2014-2018","Total","Number","Margins of Error",425
"Naugatuck","0900949950","2014-2018","Vacant","Number","Housing Units",717
"Naugatuck","0900949950","2014-2018","Vacant","Number","Margins of Error",256
"Naugatuck","0900949950","2014-2018","Vacant","Percent","Housing Units",5.79
"Naugatuck","0900949950","2014-2018","Vacant","Percent","Margins of Error",2.08
"Naugatuck","0900949950","2014-2018","Occupied","Number","Housing Units",11659
"Naugatuck","0900949950","2014-2018","Occupied","Number","Margins of Error",430
"Naugatuck","0900949950","2014-2018","Occupied","Percent","Housing Units",94.21
"Naugatuck","0900949950","2014-2018","Occupied","Percent","Margins of Error",4.75
"New Britain","0900350440","2006-2010","Total","Number","Housing Units",32917
"New Britain","0900350440","2006-2010","Total","Number","Margins of Error",739
"New Britain","0900350440","2006-2010","Vacant","Number","Housing Units",3456
"New Britain","0900350440","2006-2010","Vacant","Number","Margins of Error",346
"New Britain","0900350440","2006-2010","Vacant","Percent","Housing Units",10.5
"New Britain","0900350440","2006-2010","Vacant","Percent","Margins of Error",1.08
"New Britain","0900350440","2006-2010","Occupied","Number","Housing Units",29461
"New Britain","0900350440","2006-2010","Occupied","Number","Margins of Error",668
"New Britain","0900350440","2006-2010","Occupied","Percent","Housing Units",89.5
"New Britain","0900350440","2006-2010","Occupied","Percent","Margins of Error",2.86
"New Britain","0900350440","2007-2011","Total","Number","Housing Units",32267
"New Britain","0900350440","2007-2011","Total","Number","Margins of Error",651
"New Britain","0900350440","2007-2011","Vacant","Number","Housing Units",3608
"New Britain","0900350440","2007-2011","Vacant","Number","Margins of Error",388
"New Britain","0900350440","2007-2011","Vacant","Percent","Housing Units",11.18
"New Britain","0900350440","2007-2011","Vacant","Percent","Margins of Error",1.22
"New Britain","0900350440","2007-2011","Occupied","Number","Housing Units",28659
"New Britain","0900350440","2007-2011","Occupied","Number","Margins of Error",637
"New Britain","0900350440","2007-2011","Occupied","Percent","Housing Units",88.82
"New Britain","0900350440","2007-2011","Occupied","Percent","Margins of Error",2.67
"New Britain","0900350440","2008-2012","Total","Number","Housing Units",31430
"New Britain","0900350440","2008-2012","Total","Number","Margins of Error",741
"New Britain","0900350440","2008-2012","Vacant","Number","Housing Units",3327
"New Britain","0900350440","2008-2012","Vacant","Number","Margins of Error",417
"New Britain","0900350440","2008-2012","Vacant","Percent","Housing Units",10.59
"New Britain","0900350440","2008-2012","Vacant","Percent","Margins of Error",1.35
"New Britain","0900350440","2008-2012","Occupied","Number","Housing Units",28103
"New Britain","0900350440","2008-2012","Occupied","Number","Margins of Error",620
"New Britain","0900350440","2008-2012","Occupied","Percent","Housing Units",89.41
"New Britain","0900350440","2008-2012","Occupied","Percent","Margins of Error",2.89
"New Britain","0900350440","2009-2013","Total","Number","Housing Units",31322
"New Britain","0900350440","2009-2013","Total","Number","Margins of Error",725
"New Britain","0900350440","2009-2013","Vacant","Number","Housing Units",3387
"New Britain","0900350440","2009-2013","Vacant","Number","Margins of Error",386
"New Britain","0900350440","2009-2013","Vacant","Percent","Housing Units",10.81
"New Britain","0900350440","2009-2013","Vacant","Percent","Margins of Error",1.26
"New Britain","0900350440","2009-2013","Occupied","Number","Housing Units",27935
"New Britain","0900350440","2009-2013","Occupied","Number","Margins of Error",666
"New Britain","0900350440","2009-2013","Occupied","Percent","Housing Units",89.19
"New Britain","0900350440","2009-2013","Occupied","Percent","Margins of Error",2.96
"New Britain","0900350440","2010-2014","Total","Number","Housing Units",31023
"New Britain","0900350440","2010-2014","Total","Number","Margins of Error",673
"New Britain","0900350440","2010-2014","Vacant","Number","Housing Units",3203
"New Britain","0900350440","2010-2014","Vacant","Number","Margins of Error",459
"New Britain","0900350440","2010-2014","Vacant","Percent","Housing Units",10.32
"New Britain","0900350440","2010-2014","Vacant","Percent","Margins of Error",1.5
"New Britain","0900350440","2010-2014","Occupied","Number","Housing Units",27820
"New Britain","0900350440","2010-2014","Occupied","Number","Margins of Error",585
"New Britain","0900350440","2010-2014","Occupied","Percent","Housing Units",89.68
"New Britain","0900350440","2010-2014","Occupied","Percent","Margins of Error",2.71
"New Britain","0900350440","2011-2015","Total","Number","Housing Units",31670
"New Britain","0900350440","2011-2015","Total","Number","Margins of Error",703
"New Britain","0900350440","2011-2015","Vacant","Number","Housing Units",3812
"New Britain","0900350440","2011-2015","Vacant","Number","Margins of Error",382
"New Britain","0900350440","2011-2015","Vacant","Percent","Housing Units",12.04
"New Britain","0900350440","2011-2015","Vacant","Percent","Margins of Error",1.24
"New Britain","0900350440","2011-2015","Occupied","Number","Housing Units",27858
"New Britain","0900350440","2011-2015","Occupied","Number","Margins of Error",641
"New Britain","0900350440","2011-2015","Occupied","Percent","Housing Units",87.96
"New Britain","0900350440","2011-2015","Occupied","Percent","Margins of Error",2.81
"New Britain","0900350440","2012-2016","Total","Number","Housing Units",31616
"New Britain","0900350440","2012-2016","Total","Number","Margins of Error",643
"New Britain","0900350440","2012-2016","Vacant","Number","Housing Units",3498
"New Britain","0900350440","2012-2016","Vacant","Number","Margins of Error",398
"New Britain","0900350440","2012-2016","Vacant","Percent","Housing Units",11.06
"New Britain","0900350440","2012-2016","Vacant","Percent","Margins of Error",1.28
"New Britain","0900350440","2012-2016","Occupied","Number","Housing Units",28118
"New Britain","0900350440","2012-2016","Occupied","Number","Margins of Error",579
"New Britain","0900350440","2012-2016","Occupied","Percent","Housing Units",88.94
"New Britain","0900350440","2012-2016","Occupied","Percent","Margins of Error",2.57
"New Britain","0900350440","2013-2017","Total","Number","Housing Units",32097
"New Britain","0900350440","2013-2017","Total","Number","Margins of Error",698
"New Britain","0900350440","2013-2017","Vacant","Number","Housing Units",3566
"New Britain","0900350440","2013-2017","Vacant","Number","Margins of Error",404
"New Britain","0900350440","2013-2017","Vacant","Percent","Housing Units",11.11
"New Britain","0900350440","2013-2017","Vacant","Percent","Margins of Error",1.28
"New Britain","0900350440","2013-2017","Occupied","Number","Housing Units",28531
"New Britain","0900350440","2013-2017","Occupied","Number","Margins of Error",607
"New Britain","0900350440","2013-2017","Occupied","Percent","Housing Units",88.89
"New Britain","0900350440","2013-2017","Occupied","Percent","Margins of Error",2.7
"New Britain","0900350440","2014-2018","Total","Number","Housing Units",31953
"New Britain","0900350440","2014-2018","Total","Number","Margins of Error",628
"New Britain","0900350440","2014-2018","Vacant","Number","Housing Units",3570
"New Britain","0900350440","2014-2018","Vacant","Number","Margins of Error",396
"New Britain","0900350440","2014-2018","Vacant","Percent","Housing Units",11.17
"New Britain","0900350440","2014-2018","Vacant","Percent","Margins of Error",1.26
"New Britain","0900350440","2014-2018","Occupied","Number","Housing Units",28383
"New Britain","0900350440","2014-2018","Occupied","Number","Margins of Error",660
"New Britain","0900350440","2014-2018","Occupied","Percent","Housing Units",88.83
"New Britain","0900350440","2014-2018","Occupied","Percent","Margins of Error",2.7
"New Canaan","0900150580","2006-2010","Total","Number","Housing Units",7203
"New Canaan","0900150580","2006-2010","Total","Number","Margins of Error",239
"New Canaan","0900150580","2006-2010","Vacant","Number","Housing Units",436
"New Canaan","0900150580","2006-2010","Vacant","Number","Margins of Error",161
"New Canaan","0900150580","2006-2010","Vacant","Percent","Housing Units",6.05
"New Canaan","0900150580","2006-2010","Vacant","Percent","Margins of Error",2.24
"New Canaan","0900150580","2006-2010","Occupied","Number","Housing Units",6767
"New Canaan","0900150580","2006-2010","Occupied","Number","Margins of Error",199
"New Canaan","0900150580","2006-2010","Occupied","Percent","Housing Units",93.95
"New Canaan","0900150580","2006-2010","Occupied","Percent","Margins of Error",4.17
"New Canaan","0900150580","2007-2011","Total","Number","Housing Units",7163
"New Canaan","0900150580","2007-2011","Total","Number","Margins of Error",253
"New Canaan","0900150580","2007-2011","Vacant","Number","Housing Units",482
"New Canaan","0900150580","2007-2011","Vacant","Number","Margins of Error",168
"New Canaan","0900150580","2007-2011","Vacant","Percent","Housing Units",6.73
"New Canaan","0900150580","2007-2011","Vacant","Percent","Margins of Error",2.36
"New Canaan","0900150580","2007-2011","Occupied","Number","Housing Units",6681
"New Canaan","0900150580","2007-2011","Occupied","Number","Margins of Error",189
"New Canaan","0900150580","2007-2011","Occupied","Percent","Housing Units",93.27
"New Canaan","0900150580","2007-2011","Occupied","Percent","Margins of Error",4.22
"New Canaan","0900150580","2008-2012","Total","Number","Housing Units",7271
"New Canaan","0900150580","2008-2012","Total","Number","Margins of Error",282
"New Canaan","0900150580","2008-2012","Vacant","Number","Housing Units",501
"New Canaan","0900150580","2008-2012","Vacant","Number","Margins of Error",192
"New Canaan","0900150580","2008-2012","Vacant","Percent","Housing Units",6.89
"New Canaan","0900150580","2008-2012","Vacant","Percent","Margins of Error",2.65
"New Canaan","0900150580","2008-2012","Occupied","Number","Housing Units",6770
"New Canaan","0900150580","2008-2012","Occupied","Number","Margins of Error",212
"New Canaan","0900150580","2008-2012","Occupied","Percent","Housing Units",93.11
"New Canaan","0900150580","2008-2012","Occupied","Percent","Margins of Error",4.64
"New Canaan","0900150580","2009-2013","Total","Number","Housing Units",7260
"New Canaan","0900150580","2009-2013","Total","Number","Margins of Error",283
"New Canaan","0900150580","2009-2013","Vacant","Number","Housing Units",458
"New Canaan","0900150580","2009-2013","Vacant","Number","Margins of Error",178
"New Canaan","0900150580","2009-2013","Vacant","Percent","Housing Units",6.31
"New Canaan","0900150580","2009-2013","Vacant","Percent","Margins of Error",2.46
"New Canaan","0900150580","2009-2013","Occupied","Number","Housing Units",6802
"New Canaan","0900150580","2009-2013","Occupied","Number","Margins of Error",229
"New Canaan","0900150580","2009-2013","Occupied","Percent","Housing Units",93.69
"New Canaan","0900150580","2009-2013","Occupied","Percent","Margins of Error",4.83
"New Canaan","0900150580","2010-2014","Total","Number","Housing Units",7305
"New Canaan","0900150580","2010-2014","Total","Number","Margins of Error",233
"New Canaan","0900150580","2010-2014","Vacant","Number","Housing Units",472
"New Canaan","0900150580","2010-2014","Vacant","Number","Margins of Error",172
"New Canaan","0900150580","2010-2014","Vacant","Percent","Housing Units",6.46
"New Canaan","0900150580","2010-2014","Vacant","Percent","Margins of Error",2.36
"New Canaan","0900150580","2010-2014","Occupied","Number","Housing Units",6833
"New Canaan","0900150580","2010-2014","Occupied","Number","Margins of Error",215
"New Canaan","0900150580","2010-2014","Occupied","Percent","Housing Units",93.54
"New Canaan","0900150580","2010-2014","Occupied","Percent","Margins of Error",4.19
"New Canaan","0900150580","2011-2015","Total","Number","Housing Units",7310
"New Canaan","0900150580","2011-2015","Total","Number","Margins of Error",211
"New Canaan","0900150580","2011-2015","Vacant","Number","Housing Units",453
"New Canaan","0900150580","2011-2015","Vacant","Number","Margins of Error",168
"New Canaan","0900150580","2011-2015","Vacant","Percent","Housing Units",6.2
"New Canaan","0900150580","2011-2015","Vacant","Percent","Margins of Error",2.31
"New Canaan","0900150580","2011-2015","Occupied","Number","Housing Units",6857
"New Canaan","0900150580","2011-2015","Occupied","Number","Margins of Error",186
"New Canaan","0900150580","2011-2015","Occupied","Percent","Housing Units",93.8
"New Canaan","0900150580","2011-2015","Occupied","Percent","Margins of Error",3.72
"New Canaan","0900150580","2012-2016","Total","Number","Housing Units",7444
"New Canaan","0900150580","2012-2016","Total","Number","Margins of Error",215
"New Canaan","0900150580","2012-2016","Vacant","Number","Housing Units",426
"New Canaan","0900150580","2012-2016","Vacant","Number","Margins of Error",149
"New Canaan","0900150580","2012-2016","Vacant","Percent","Housing Units",5.72
"New Canaan","0900150580","2012-2016","Vacant","Percent","Margins of Error",2.01
"New Canaan","0900150580","2012-2016","Occupied","Number","Housing Units",7018
"New Canaan","0900150580","2012-2016","Occupied","Number","Margins of Error",194
"New Canaan","0900150580","2012-2016","Occupied","Percent","Housing Units",94.28
"New Canaan","0900150580","2012-2016","Occupied","Percent","Margins of Error",3.77
"New Canaan","0900150580","2013-2017","Total","Number","Housing Units",7491
"New Canaan","0900150580","2013-2017","Total","Number","Margins of Error",219
"New Canaan","0900150580","2013-2017","Vacant","Number","Housing Units",449
"New Canaan","0900150580","2013-2017","Vacant","Number","Margins of Error",150
"New Canaan","0900150580","2013-2017","Vacant","Percent","Housing Units",5.99
"New Canaan","0900150580","2013-2017","Vacant","Percent","Margins of Error",2.01
"New Canaan","0900150580","2013-2017","Occupied","Number","Housing Units",7042
"New Canaan","0900150580","2013-2017","Occupied","Number","Margins of Error",172
"New Canaan","0900150580","2013-2017","Occupied","Percent","Housing Units",94.01
"New Canaan","0900150580","2013-2017","Occupied","Percent","Margins of Error",3.58
"New Canaan","0900150580","2014-2018","Total","Number","Housing Units",7582
"New Canaan","0900150580","2014-2018","Total","Number","Margins of Error",173
"New Canaan","0900150580","2014-2018","Vacant","Number","Housing Units",498
"New Canaan","0900150580","2014-2018","Vacant","Number","Margins of Error",156
"New Canaan","0900150580","2014-2018","Vacant","Percent","Housing Units",6.57
"New Canaan","0900150580","2014-2018","Vacant","Percent","Margins of Error",2.06
"New Canaan","0900150580","2014-2018","Occupied","Number","Housing Units",7084
"New Canaan","0900150580","2014-2018","Occupied","Number","Margins of Error",186
"New Canaan","0900150580","2014-2018","Occupied","Percent","Housing Units",93.43
"New Canaan","0900150580","2014-2018","Occupied","Percent","Margins of Error",3.25
"New Fairfield","0900150860","2006-2010","Total","Number","Housing Units",5396
"New Fairfield","0900150860","2006-2010","Total","Number","Margins of Error",205
"New Fairfield","0900150860","2006-2010","Vacant","Number","Housing Units",667
"New Fairfield","0900150860","2006-2010","Vacant","Number","Margins of Error",174
"New Fairfield","0900150860","2006-2010","Vacant","Percent","Housing Units",12.36
"New Fairfield","0900150860","2006-2010","Vacant","Percent","Margins of Error",3.26
"New Fairfield","0900150860","2006-2010","Occupied","Number","Housing Units",4729
"New Fairfield","0900150860","2006-2010","Occupied","Number","Margins of Error",168
"New Fairfield","0900150860","2006-2010","Occupied","Percent","Housing Units",87.64
"New Fairfield","0900150860","2006-2010","Occupied","Percent","Margins of Error",4.56
"New Fairfield","0900150860","2007-2011","Total","Number","Housing Units",5473
"New Fairfield","0900150860","2007-2011","Total","Number","Margins of Error",220
"New Fairfield","0900150860","2007-2011","Vacant","Number","Housing Units",732
"New Fairfield","0900150860","2007-2011","Vacant","Number","Margins of Error",163
"New Fairfield","0900150860","2007-2011","Vacant","Percent","Housing Units",13.37
"New Fairfield","0900150860","2007-2011","Vacant","Percent","Margins of Error",3.03
"New Fairfield","0900150860","2007-2011","Occupied","Number","Housing Units",4741
"New Fairfield","0900150860","2007-2011","Occupied","Number","Margins of Error",188
"New Fairfield","0900150860","2007-2011","Occupied","Percent","Housing Units",86.63
"New Fairfield","0900150860","2007-2011","Occupied","Percent","Margins of Error",4.89
"New Fairfield","0900150860","2008-2012","Total","Number","Housing Units",5507
"New Fairfield","0900150860","2008-2012","Total","Number","Margins of Error",201
"New Fairfield","0900150860","2008-2012","Vacant","Number","Housing Units",726
"New Fairfield","0900150860","2008-2012","Vacant","Number","Margins of Error",166
"New Fairfield","0900150860","2008-2012","Vacant","Percent","Housing Units",13.18
"New Fairfield","0900150860","2008-2012","Vacant","Percent","Margins of Error",3.05
"New Fairfield","0900150860","2008-2012","Occupied","Number","Housing Units",4781
"New Fairfield","0900150860","2008-2012","Occupied","Number","Margins of Error",159
"New Fairfield","0900150860","2008-2012","Occupied","Percent","Housing Units",86.82
"New Fairfield","0900150860","2008-2012","Occupied","Percent","Margins of Error",4.29
"New Fairfield","0900150860","2009-2013","Total","Number","Housing Units",5656
"New Fairfield","0900150860","2009-2013","Total","Number","Margins of Error",226
"New Fairfield","0900150860","2009-2013","Vacant","Number","Housing Units",886
"New Fairfield","0900150860","2009-2013","Vacant","Number","Margins of Error",195
"New Fairfield","0900150860","2009-2013","Vacant","Percent","Housing Units",15.66
"New Fairfield","0900150860","2009-2013","Vacant","Percent","Margins of Error",3.5
"New Fairfield","0900150860","2009-2013","Occupied","Number","Housing Units",4770
"New Fairfield","0900150860","2009-2013","Occupied","Number","Margins of Error",192
"New Fairfield","0900150860","2009-2013","Occupied","Percent","Housing Units",84.34
"New Fairfield","0900150860","2009-2013","Occupied","Percent","Margins of Error",4.78
"New Fairfield","0900150860","2010-2014","Total","Number","Housing Units",5820
"New Fairfield","0900150860","2010-2014","Total","Number","Margins of Error",215
"New Fairfield","0900150860","2010-2014","Vacant","Number","Housing Units",1005
"New Fairfield","0900150860","2010-2014","Vacant","Number","Margins of Error",202
"New Fairfield","0900150860","2010-2014","Vacant","Percent","Housing Units",17.27
"New Fairfield","0900150860","2010-2014","Vacant","Percent","Margins of Error",3.53
"New Fairfield","0900150860","2010-2014","Occupied","Number","Housing Units",4815
"New Fairfield","0900150860","2010-2014","Occupied","Number","Margins of Error",183
"New Fairfield","0900150860","2010-2014","Occupied","Percent","Housing Units",82.73
"New Fairfield","0900150860","2010-2014","Occupied","Percent","Margins of Error",4.38
"New Fairfield","0900150860","2011-2015","Total","Number","Housing Units",5863
"New Fairfield","0900150860","2011-2015","Total","Number","Margins of Error",205
"New Fairfield","0900150860","2011-2015","Vacant","Number","Housing Units",1012
"New Fairfield","0900150860","2011-2015","Vacant","Number","Margins of Error",150
"New Fairfield","0900150860","2011-2015","Vacant","Percent","Housing Units",17.26
"New Fairfield","0900150860","2011-2015","Vacant","Percent","Margins of Error",2.63
"New Fairfield","0900150860","2011-2015","Occupied","Number","Housing Units",4851
"New Fairfield","0900150860","2011-2015","Occupied","Number","Margins of Error",179
"New Fairfield","0900150860","2011-2015","Occupied","Percent","Housing Units",82.74
"New Fairfield","0900150860","2011-2015","Occupied","Percent","Margins of Error",4.21
"New Fairfield","0900150860","2012-2016","Total","Number","Housing Units",5705
"New Fairfield","0900150860","2012-2016","Total","Number","Margins of Error",169
"New Fairfield","0900150860","2012-2016","Vacant","Number","Housing Units",910
"New Fairfield","0900150860","2012-2016","Vacant","Number","Margins of Error",144
"New Fairfield","0900150860","2012-2016","Vacant","Percent","Housing Units",15.95
"New Fairfield","0900150860","2012-2016","Vacant","Percent","Margins of Error",2.57
"New Fairfield","0900150860","2012-2016","Occupied","Number","Housing Units",4795
"New Fairfield","0900150860","2012-2016","Occupied","Number","Margins of Error",160
"New Fairfield","0900150860","2012-2016","Occupied","Percent","Housing Units",84.05
"New Fairfield","0900150860","2012-2016","Occupied","Percent","Margins of Error",3.75
"New Fairfield","0900150860","2013-2017","Total","Number","Housing Units",5898
"New Fairfield","0900150860","2013-2017","Total","Number","Margins of Error",163
"New Fairfield","0900150860","2013-2017","Vacant","Number","Housing Units",1029
"New Fairfield","0900150860","2013-2017","Vacant","Number","Margins of Error",159
"New Fairfield","0900150860","2013-2017","Vacant","Percent","Housing Units",17.45
"New Fairfield","0900150860","2013-2017","Vacant","Percent","Margins of Error",2.74
"New Fairfield","0900150860","2013-2017","Occupied","Number","Housing Units",4869
"New Fairfield","0900150860","2013-2017","Occupied","Number","Margins of Error",155
"New Fairfield","0900150860","2013-2017","Occupied","Percent","Housing Units",82.55
"New Fairfield","0900150860","2013-2017","Occupied","Percent","Margins of Error",3.48
"New Fairfield","0900150860","2014-2018","Total","Number","Housing Units",5967
"New Fairfield","0900150860","2014-2018","Total","Number","Margins of Error",160
"New Fairfield","0900150860","2014-2018","Vacant","Number","Housing Units",948
"New Fairfield","0900150860","2014-2018","Vacant","Number","Margins of Error",137
"New Fairfield","0900150860","2014-2018","Vacant","Percent","Housing Units",15.89
"New Fairfield","0900150860","2014-2018","Vacant","Percent","Margins of Error",2.34
"New Fairfield","0900150860","2014-2018","Occupied","Number","Housing Units",5019
"New Fairfield","0900150860","2014-2018","Occupied","Number","Margins of Error",167
"New Fairfield","0900150860","2014-2018","Occupied","Percent","Housing Units",84.11
"New Fairfield","0900150860","2014-2018","Occupied","Percent","Margins of Error",3.59
"New Hartford","0900551350","2006-2010","Total","Number","Housing Units",2798
"New Hartford","0900551350","2006-2010","Total","Number","Margins of Error",168
"New Hartford","0900551350","2006-2010","Vacant","Number","Housing Units",197
"New Hartford","0900551350","2006-2010","Vacant","Number","Margins of Error",112
"New Hartford","0900551350","2006-2010","Vacant","Percent","Housing Units",7.04
"New Hartford","0900551350","2006-2010","Vacant","Percent","Margins of Error",4.03
"New Hartford","0900551350","2006-2010","Occupied","Number","Housing Units",2601
"New Hartford","0900551350","2006-2010","Occupied","Number","Margins of Error",140
"New Hartford","0900551350","2006-2010","Occupied","Percent","Housing Units",92.96
"New Hartford","0900551350","2006-2010","Occupied","Percent","Margins of Error",7.5
"New Hartford","0900551350","2007-2011","Total","Number","Housing Units",2899
"New Hartford","0900551350","2007-2011","Total","Number","Margins of Error",169
"New Hartford","0900551350","2007-2011","Vacant","Number","Housing Units",264
"New Hartford","0900551350","2007-2011","Vacant","Number","Margins of Error",144
"New Hartford","0900551350","2007-2011","Vacant","Percent","Housing Units",9.11
"New Hartford","0900551350","2007-2011","Vacant","Percent","Margins of Error",5
"New Hartford","0900551350","2007-2011","Occupied","Number","Housing Units",2635
"New Hartford","0900551350","2007-2011","Occupied","Number","Margins of Error",143
"New Hartford","0900551350","2007-2011","Occupied","Percent","Housing Units",90.89
"New Hartford","0900551350","2007-2011","Occupied","Percent","Margins of Error",7.24
"New Hartford","0900551350","2008-2012","Total","Number","Housing Units",2965
"New Hartford","0900551350","2008-2012","Total","Number","Margins of Error",172
"New Hartford","0900551350","2008-2012","Vacant","Number","Housing Units",285
"New Hartford","0900551350","2008-2012","Vacant","Number","Margins of Error",123
"New Hartford","0900551350","2008-2012","Vacant","Percent","Housing Units",9.61
"New Hartford","0900551350","2008-2012","Vacant","Percent","Margins of Error",4.19
"New Hartford","0900551350","2008-2012","Occupied","Number","Housing Units",2680
"New Hartford","0900551350","2008-2012","Occupied","Number","Margins of Error",143
"New Hartford","0900551350","2008-2012","Occupied","Percent","Housing Units",90.39
"New Hartford","0900551350","2008-2012","Occupied","Percent","Margins of Error",7.12
"New Hartford","0900551350","2009-2013","Total","Number","Housing Units",2914
"New Hartford","0900551350","2009-2013","Total","Number","Margins of Error",214
